	Tomato Data Entry			Characterization Descriptors							Quality Measures					
	Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 	Comment		Form 
	#	#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY							
unique_id	Line #	Plot Number	Replicate Number	SP:0000344|boolean	SP:0000128|qual	SP:0000071|qual	SP:0000363|boolean	SP:0000364|boolean	SP:0000126	SP:0000198	SP:0000165	SP:0000170	SP:0000345	Comment		
1001-1	SCT_0479	1001	1	p	i	s	a	p	2009/08/19	.	.	.	.			
1002-1	SCT_0153	1002	1	p	d	s	p	p	2009/08/19	.	.	.	.			
1003-1	SCT_0278	1003	1	p	i	s	a	p	2009/08/13	.	5.51	4.36	0.446244248992311			
1004-1	SCT_0195	1004	1	p	d	s	p	p	2009/08/13	.	4.42	4.31	0.373232369425803			
1005-1	SCT_0227	1005	1	p	d	s	a	p	2009/08/07	.	6.47	4.35	0.465314516043264			
1006-1	SCT_0154	1006	1	p	d	s	a	p	2009/08/16	.	.	.	.			
1007-1	SCT_0245	1007	1	p	d	c	p	p	2009/08/03	.	4.56	4.24	0.422815063758282			
1008-1	SCT_0162	1008	1	p	d	c	p	a	2009/08/07	.	4.19	4.3	0.38521939442926			
1009-1	SCT_0273	1009	1	p	i	s	a	p	2009/08/11	.	5.05	4.42	0.33182264668659			
1010-1	SCT_0250	1010	1	p	d	s	a	a	2009/08/03	.	.	.	.			
1011-1	SCT_0238	1011	1	p	d	s	p	p	2009/08/07	.	5.9	4.26	0.580280983121869			
1012-1	SCT_0236	1012	1	p	d	s	p	p	2009/08/13	.	5.49	.	.			
1013-1	SCT_0161	1013	1	p	d	i	p	a 	2009/07/28	.	4.88	4.26	0.425539387622704			
1014-1	SCT_0190	1014	1	p	d	s	P	p	2009/08/13	.	4.63	4.23	0.421180469439629			
1015-1	SCT_0281	1015	1	p	d	s	a	p	2009/08/11	.	4.95	4.38	0.415186956937901			
1016-1	SCT_0187	1016	1	p	d	s	a	p	2009/08/13	.	5.13	4.37	0.42009073989386			
1017-1	SCT_0264	1017	1	p	i	c	P	p	2009/08/13	.	6.15	4.41	0.357431291012156			
1018-1	SCT_0212	1018	1	p	d	s	p	a	2009/08/13	.	.	.	.			
1019-1	SCT_0164	1019	1	p	d	c	a	a	2009/08/11	.	5.1	4.41	0.346533995554468			
1020-1	SCT_0148	1020	1	p	d	s	a	p	2009/08/11	.	.	.	.			
1021-1	SCT_0158	1021	1	p	d	i	p	a	2009/08/03	.	4.96	4.26	0.45605181490423			
1022-1	SCT_0146	1022	1	p	d	s	a	p	2009/08/16	.	.	.	.			
1023-1	SCT_0191	1023	1	p	d	s	p	p	2009/08/13	.	5.09	4.36	0.430443170578664			
1024-1	SCT_0237	1024	1	p	d	s	a	p	2009/08/13	.	5.76	4.52	0.389578312612335			
1025-1	SCT_0247	1025	1	p	d	i	p	a	2009/08/13	.	4.59	4.42	0.318745892137365			
1026-1	SCT_0254	1026	1	p	d	s	a	p	2009/08/11	.	4.73	4.56	0.342719942144278			
1027-1	SCT_0243	1027	1	p	d	.	.	.	2009/09/09	.	.	.	.			
1028-1	SCT_0283	1028	1	p	d	s	a	p	2009/08/11	.	5.73	4.23	0.49582694332479			
1029-1	SCT_0267	1029	1	p	i	s	a	p	2009/08/13	.	5.24	4.74	0.265349144394695			
1030-1	SCT_0197	1030	1	p	d	s	p	p	2009/08/13	.	4.93	4.48	0.371052910334266			
1031-1	SCT_0218	1031	1	p	d	c	p	p	2009/08/07	.	3.86	4.33	0.383039935337722			
1032-1	SCT_0182	1032	1	p	d	c	p	a	2009/08/13	.	4.72	4.33	0.434802088761739			
1033-1	SCT_0480	1033	1	p	d	c	p	a	2009/08/13	.	4.73	4.34	0.392847501249641			
1034-1	SCT_0184	1034	1	p	d	s	p	p	2009/08/13	.	4.82	4.32	0.404834526253098			
1035-1	SCT_0144	1035	1	p	d	s	a	a	2009/08/07	.	4.73	4.51	0.325284269411977			
1036-1	SCT_0152	1036	1	p	d	.	.	.	.	.	.	.	.			
1037-1	SCT_0169	1037	1	p	d	s	p	p	2009/07/28	.	6.03	4.23	0.477846405819605			
1038-1	SCT_0186	1038	1	p	d	s	p	p	2009/08/13	.	4.61	4.36	0.365604262605422			
1039-1	SCT_0244	1039	1	p	i	s	a	a	2009/08/11	.	7.49	4.47	0.364514533059653			
1040-1	SCT_0251	1040	1	p	d	s	p	p	2009/08/03	.	4.79	4.33	0.41137290352771			
1041-1	SCT_0203	1041	1	p	d	s	a	p	2009/08/13	.	4.6	4.45	0.331277781913706			
1042-1	SCT_0174	1042	1	p	d	s	p	p	2009/08/16	.	5.36	4.35	0.391757771703872			
1043-1	SCT_0240	1043	1	p	d	s	p	p	2009/08/13	.	4.27	4.37	0.371052910334266			
1044-1	SCT_0219	1044	1	p	d	s	a	p	2009/08/16	.	.	.	.			
1045-1	SCT_0149	1045	1	p	d	s	a	p	2009/08/13	.	.	.	.			
1046-1	SCT_0166	1046	1	p	d	c	a	a	2009/08/13	.	4.33	4.37	0.301855084177949			
1047-1	SCT_0155	1047	1	.	.	.	.	.	.	.	.	.	.			
1048-1	SCT_0151	1048	1	.	.	.	.	.	.	.	.	.	.			
1049-1	SCT_0284	1049	1	p	i	s	a	p	2009/08/07	.	5.84	4.31	0.45986586831442			
1050-1	SCT_0156	1050	1	p	d	s	p	p	2009/07/28	.	.	.	.			
1051-1	SCT_0255	1051	1	p	i	i	a	p	2009/08/11	.	5.69	4.47	0.308938326225446			
1052-1	SCT_0257	1052	1	p	d	i	p	p	2009/08/03	.	4.67	4.59	0.339450753506972			
1053-1	SCT_0230	1053	1	p	i	i	p	p	2009/08/13	.	6.3	4.53	0.390668042158104			
1054-1	SCT_0279	1054	1	p	d	s	p	p	2009/08/13	.	7.03	4.42	0.50454477969094			
1055-1	SCT_0199	1055	1	p	d	s	p	p	2009/08/07	.	6.59	4.34	0.514352345602859			
1056-1	SCT_0276	1056	1	p	d	i	P	p	2009/08/11	.	3.7	4.31	0.351982643283312			
1057-1	SCT_0213	1057	1	p	d	s	P	p	2009/08/11	.	4.82	4.34	0.400475608070022			
1058-1	SCT_0260	1058	1	p	d	s	a	p	2009/08/11	.	4.61	4.52	0.31438697395429			
1059-1	SCT_0248	1059	1	p	i	i	p	a	2009/08/13	.	4.34	4.4	0.334546970551012			
1060-1	SCT_0481	1060	1	.	d	s	a	p	2009/08/13	.	6.21	4.31	0.469673434226339			
1061-1	SCT_0253	1061	1	p	d	s	p	p	2009/08/13	.	5.4	4.52	0.358521020557925			
1062-1	SCT_0160	1062	1	p	d	i	p	p	2009/08/03	.	3.78	4.27	0.346533995554468			
1063-1	SCT_0277	1063	1	p	d	i	p	a	2009/08/13	.	4.9	4.38	0.355251831920619			
1064-1	SCT_0185	1064	1	p	d	s	a	p	2009/08/11	.	4.4	4.3	0.406469120571751			
1065-1	SCT_0265	1065	1	p	i	s	a	p	2009/07/28	.	5.5	4.3	0.470763163772108			
1066-1	SCT_0249	1066	1	p	d	s	P	p	2009/08/13	.	4.78	4.37	0.403744796707329			
1067-1	SCT_0210	1067	1	p	d	c	p	p	2009/08/13	.	5.76	4.41	0.403744796707329			
1068-1	SCT_0175	1068	1	p	d	s	p	p	2009/08/13	.	5.12	4.34	0.41627668648367			
