	Tomato Data Entry			Characterization Descriptors									Quality Measures								
	Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 	Comment	Form 				
	#	#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)										
unique#	Line #	Plot Number	Replicate Number	SP:0000344	SP:0000128|qual	SP:0000071	SP:0000363	SP:0000364	SP:0000126	SP:0000366	SP:0000368	SP:0000198|unit:kilogram per hectare	SP:0000165	SP:0000170	SP:0000345|unit: gram per deciliter	Comment					
8645-2	SCT_0113	8645	2	.	indeterminate	.	.	.	.	2010/09/28	.	35712.2607275696	5.2	4.48	0.30208		form values	Growth Type	inflorescence		
8646-2	SCT_0478	8646	2	.	indeterminate	.	.	.	.	2010/09/28	.	91591.4451601198	4.8	4.36	0.4704						
8647-2	SCT_0038	8647	2	.	indeterminate	.	.	.	.	2010/09/28	.	80527.6467386374	5.7	4.55	0.41856						
8648-2	SCT_0087	8648	2	.	indeterminate	.	.	.	.	2010/09/28	.	91591.4451601198	5.8	4.37	0.45824						
8649-2	SCT_0075	8649	2	.	indeterminate	.	.	.	.	2010/09/28	.	92571.7817291119	8.3	4.42	0.41792						
8650-2	SCT_0018	8650	2	.	indeterminate	.	.	.	.	2010/09/30	.	39913.7031661072	7.4	4.49	0.45632						
8651-2	SCT_0067	8651	2	.	indeterminate	.	.	.	.	2010/09/28	.	76326.2043000998	5.1	4.44	0.4064						
8652-2	SCT_0047	8652	2	.	indeterminate	.	.	.	.	2010/09/16	.	67783.27134174	5.8	4.43	0.45568						
8653-2	SCT_0109	8653	2	.	indeterminate	.	.	.	.	2010/09/28	.	64562.1654721945	5.8	4.39	0.3936						
8654-2	SCT_0108	8654	2	.	indeterminate	.	.	.	.	2010/09/28	.	88930.5316157126	6	4.52	0.36992						
8655-2	SCT_0091	8655	2	.	indeterminate	.	.	.	.	2010/09/16	.	56019.2325138347	5.2	4.38	0.37696						 
8656-2	SCT_0034	8656	2	.	indeterminate	.	.	.	.	2010/09/28	.	80387.5986573528	5.6	4.37	0.40192						
8657-2	SCT_0092	8657	2	.	indeterminate	.	.	.	.	2010/09/28	.	67643.2232604554	5.8	4.47	0.39488						
