	PGSC0003DMG400000001	Adenosine 3'-phospho 5'-phosphosulfate transporter	1
	PGSC0003DMG400000002	Vacuolar iron family transporter	1
	PGSC0003DMG400000003	SPX domain-containing membrane protein	1
	PGSC0003DMG400000004	Arsenical pump-driving atpase	1
	PGSC0003DMG400000005	Shrunken seed protein	1
	PGSC0003DMG401000006	DNA binding protein	1
	PGSC0003DMG402000006	Gene of unknown function	1
	PGSC0003DMG401000007	1-acylglycerophosphocholine O-acyltransferase	1
	PGSC0003DMG402000007	JD1	1
	PGSC0003DMG400000008	Transcription factor	1
	PGSC0003DMG400000009	Transcription factor	1
	PGSC0003DMG400000010	Glycosyltransferase	1
1832	PGSC0003DMG400000011	Gibberellin 20-oxidase 4	1
	PGSC0003DMG400000012	Nucleotide binding protein	1
	PGSC0003DMG400000013	Globulin	1
	PGSC0003DMG400000014	Enoyl-CoA-hydratase	1
	PGSC0003DMG400000015	Globulin	1
	PGSC0003DMG400000016	Globulin	1
	PGSC0003DMG400000017	Beta-hydroxyisobutyryl-CoA hydrolase 1	1
	PGSC0003DMG401000018	Mosaic virus helicase domain-binding protein	1
	PGSC0003DMG402000018	Mosaic virus helicase domain-binding protein	1
	PGSC0003DMG401000019	Conserved gene of unknown function	1
	PGSC0003DMG402000019	Dtdp-4-dehydrorhamnose dehydrogenase	1
	PGSC0003DMG401000020	NAD-dependent malic enzyme 59 kDa isoform, mitochondrial	1
	PGSC0003DMG402000020	Conserved gene of unknown function	1
	PGSC0003DMG400000021	Carbonyl reductase	1
	PGSC0003DMG400000022	(+)-neomenthol dehydrogenase	1
	PGSC0003DMG400000023	Pre-mRNA processing ribonucleoprotein, binding region	1
	PGSC0003DMG400000024	Conserved gene of unknown function	1
	PGSC0003DMG400000025	Acetyl-coenzyme A carboxylase carboxyl transferase alpha	1
	PGSC0003DMG400000027	R2r3-myb transcription factor	1
	PGSC0003DMG400000028	Conserved gene of unknown function	1
	PGSC0003DMG401000029	Synaptotagmin	1
	PGSC0003DMG402000029	Conserved gene of unknown function	1
	PGSC0003DMG400000030	Conserved gene of unknown function	1
	PGSC0003DMG400000031	Ulp1 protease family, C-terminal catalytic domain containing protein	1
	PGSC0003DMG400000032	Conserved gene of unknown function	1
	PGSC0003DMG400000033	Conserved gene of unknown function	1
	PGSC0003DMG400000034	Kiwellin	1
	PGSC0003DMG400000036	Conserved gene of unknown function	1
	PGSC0003DMG400000037	Acyl-CoA thioesterase	1
	PGSC0003DMG400000038	Calmodulin-binding heat-shock protein	1
	PGSC0003DMG400000039	Pentatricopeptide repeat-containing protein	1
	PGSC0003DMG400000040	Rop guanine nucleotide exchange factor	1
	PGSC0003DMG400000042	RNA binding protein	1
	PGSC0003DMG400000043	Protein kinase	1
	PGSC0003DMG400000045	Water channel protein	1
	PGSC0003DMG400000046	GPAT	1
	PGSC0003DMG400000047	Sialin	1
2518	PGSC0003DMG400000048	Cysteine synthase	1
	PGSC0003DMG400000049	Ccr4-not transcription complex	1
	PGSC0003DMG400000050	Ccr4-not transcription complex	1
	PGSC0003DMG401000051	ATBRM/CHR2	1
	PGSC0003DMG402000051	Chromatin remodeling complex subunit	1
	PGSC0003DMG400000052	Pentatricopeptide repeat-containing protein	1
	PGSC0003DMG400000053	Conserved gene of unknown function	1
	PGSC0003DMG401000056	BRASSINOSTEROID INSENSITIVE 1-associated receptor kinase 1	1
	PGSC0003DMG402000056	Bypass1	1
	PGSC0003DMG401000057	Mitogen-activated protein kinase 4	1
