 phenotype_rows 	        min         	        max         	 project_id 	              name              	 name 
           5574 	                0.0 	                1.1 	       1638 	 14.GS.C1.EC.Ik                 	 IITA
            200 	                  0 	               1.11 	       2072 	 15ayt10yrtZA                   	 IITA
            304 	                  0 	               1.13 	       2070 	 15uyt19yrtMK                   	 IITA
            160 	                  0 	               1.17 	       2071 	 15ayt8whtrtZA                  	 IITA
            720 	                0.0 	                1.2 	       1669 	 14uyt30whtrtZA                 	 IITA
            545 	                0.0 	                1.3 	       1701 	 14ayt27highDMUB                	 IITA
            380 	                  0 	               1.32 	       2076 	 15uyt19yrtZA                   	 IITA
            163 	                0.0 	                2.0 	        584 	 13uyt7YrtZA                    	 IITA
            184 	 0.0555555555555556 	                  2 	        291 	 11uyt14yrt7Za                  	 IITA
            238 	                0.0 	                2.0 	       1702 	 14pyt17highDMIK                	 IITA
            280 	                0.0 	                2.0 	        567 	 13ayt9HtcZA                    	 IITA
            396 	                0.0 	                2.0 	        272 	 12ayt11yrtZa                   	 IITA
            420 	                0.0 	                2.0 	        260 	 12ayt15yrt8AWR                 	 IITA
            420 	                0.0 	                2.0 	        564 	 13uyt15yrt8AUB                 	 IITA
            480 	                0.0 	                2.0 	        267 	 12uyt15yrt8AZa                 	 IITA
            512 	                0.0 	                2.0 	        562 	 13clonaleval77highTCUB         	 IITA
            525 	                0.0 	                2.0 	        595 	 13pytcrossingblkUB             	 IITA
            532 	               0.00 	               2.00 	       2056 	 15uyt19highTCIK                	 IITA
            616 	                0.0 	                2.0 	        261 	 12ayt11HighProteinWR           	 IITA
            766 	                0.0 	                2.0 	        565 	 13uyt24yrtUB                   	 IITA
            840 	                0.0 	                2.0 	       1708 	 14uyt30whtrtUB                 	 IITA
           1395 	                0.0 	                2.0 	        268 	 12ayt39yrt12Za                 	 IITA
           1792 	                0.0 	                2.0 	       1678 	 14pyt64HighTCIB                	 IITA
           1846 	                0.0 	                2.0 	        262 	 12ayt33yrt12WR                 	 IITA
           2072 	                0.0 	                2.0 	        265 	 12ayt37mixedWR                 	 IITA
           2370 	                0.0 	                2.0 	        263 	 12ayt29yrt11WR                 	 IITA
            464 	                0.0 	                2.5 	       1662 	 14ayt13mixedZA                 	 IITA
            175 	                0.1 	                  3 	        289 	 11ayt14yrt8Za                  	 IITA
            200 	                0.0 	                3.0 	        573 	 13clonalevalmixedUB            	 IITA
            238 	                0.0 	                3.0 	        246 	 12ayt17HighProteinMK           	 IITA
            245 	 0.0416666666666667 	                  3 	        511 	 06uyt20sgMk                    	 IITA
            279 	 0.0434782608695652 	                  3 	        490 	 07uyt23ICT1ON                  	 IITA
            295 	 0.0416666666666667 	                  3 	        489 	 07uyt22ICT2ON                  	 IITA
            313 	 0.0416666666666667 	                  3 	        492 	 07uyt28yrt1ON                  	 IITA
            314 	 0.0416666666666667 	                  3 	        375 	 10uyt16yrtpd2IB                	 IITA
            315 	                0.0 	                3.0 	       1698 	 14ayt15mixedUB                 	 IITA
            328 	                  1 	                  3 	        415 	 08uyt23ICT1MK                  	 IITA
            334 	 0.0416666666666667 	                  3 	        491 	 07uyt25yrt2ON                  	 IITA
            336 	                0.0 	                3.0 	        247 	 12NCRP14MK                     	 IITA
            360 	                0.0 	                3.0 	        581 	 13Uyt10HtcIK                   	 IITA
            380 	 0.0416666666666667 	                  3 	        541 	 10uyt20mprIB                   	 IITA
            384 	                0.0 	                3.0 	        405 	 10uyt16yrtpd2MK                	 IITA
            420 	                0.0 	                3.0 	        259 	 12uyt15yrt8AUB                 	 IITA
            420 	                0.0 	                3.0 	        576 	 13Ayt15HtcIK                   	 IITA
            456 	                0.0 	                3.0 	        639 	 05uyt19ciatMK                  	 IITA
            476 	                0.0 	                3.0 	        556 	 13uyt30yrON                    	 IITA
