	Tomato Data Entry			Characterization Descriptors									Quality Measures								
	Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 	Comment	Form 				
	#	#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)										
unique#	Line #	Plot Number	Replicate Number	SP:0000344	SP:0000128|qual	SP:0000071|qual	SP:0000363|boolean	SP:0000364|boolean	SP:0000126	SP:0000366	SP:0000368	SP:0000198	SP:0000165	SP:0000170	SP:0000345	Comment					
5201-1	SCT_0172	5201	1	.	d 	s	a	p	.	.	.	.	4.5	4.29	0.35		form values	Growth Type	inflorescence		
5202-1	SCT_0173	5202	1	.	i	s	a	p	.	.	.	.	4.1	4.32	0.47						
5203-1	SCT_0174	5203	1	.	i	s	a	p	.	.	.	.	2.8	4.37	0.19						
5204-1	SCT_0175	5204	1	.	i	s	a	p	.	.	.	.	1.5	4.48	0.08						
5205-1	SCT_0176	5205	1	.	d 	s	a	p	.	.	.	.	4.7	4.04	0.53						
5206-1	SCT_0177	5206	1	.	i	s	a	p	.	.	.	.	2.9	4.19	0.26						
5207-1	SCT_0178	5207	1	.	d 	s	a	a	.	.	.	.	3.8	4.67	0.24						
5208-1	SCT_0179	5208	1	.	d 	s	a	p	.	.	.	.	4.7	4.35	0.35						
5209-1	SCT_0180	5209	1	.	d 	s	a	p	.	.	.	.	4.5	4.15	0.47						
5210-1	SCT_0181	5210	1	.	d 	s	a	p	.	.	.	.	3.4	4.29	0.28						
5211-1	SCT_0182	5211	1	.	d 	s	a	a	.	.	.	.	4.4	4.2	0.44						 
5212-1	SCT_0183	5212	1	.	d	s	a	p	.	.	.	.	3.1	4.27	0.34						
5213-1	SCT_0184	5213	1	.	d	s	a	p	.	.	.	.	2.6	4.27	0.24						
5214-1	SCT_0185	5214	1	.	d	s	a	p	.	.	.	.	3.5	4.65	0.25						
5215-1	SCT_0186	5215	1	.	d	s	a	p	.	.	.	.	4.8	4.55	0.37						
5216-1	SCT_0187	5216	1	.	d	.	a	p	.	.	.	.	5.1	4.44	0.43						
5217-1	SCT_0188	5217	1	.	d	s	a	p	.	.	.	.	5	4.45	0.36						
5218-1	SCT_0189	5218	1	.	d	s	a	p	.	.	.	.	4.7	4.26	0.45						
