	Tomato Data Entry			Characterization Descriptors									Quality Measures			Comment	
	Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 		Form 
	#	#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)						
unique#	Line #	Plot Number	Replicate Number	SP:0000344|boolean	SP:0000128|qual	SP:0000071|qual	SP:0000363|boolean	SP:0000364|boolean	SP:0000126	SP:0000366	SP:0000368	SP:0000198|unit:kilogram per hectare	SP:0000165	SP:0000170	SP:0000345|unit: gram per deciliter	Comment	
SCT_0143-1	SCT_0143	11	1	.	.	.	.	.	.	2010/08/24	.	.	4.6	3.72	0.57984		
SCT_0143-2a	SCT_0143	12	2a	.	.	.	.	.	.	2010/08/24	.	.	4.3	3.82	0.61952	Have 2 sets of quality measurements for the same rep	
SCT_0143-2b	SCT_0143	12	2b	.	.	.	.	.	.	.	.	.	3.6	3.93	0.51008	Have 2 sets of quality measurements for the same rep	
SCT_0144-1	SCT_0144	21	1	.	.	.	.	.	.	2010/08/24	.	.	5.2	3.98	0.47232		
SCT_0144-2	SCT_0144	22	2	.	.	.	.	.	.	2010/08/24	.	.	4.1	4.07	0.35712		
SCT_0145-1	SCT_0145	31	1	.	.	.	.	.	.	2010/08/24	.	.	4.7	4.27	0.352		
SCT_0145-2	SCT_0145	32	2	.	.	.	.	.	.	2010/08/24	.	.	4.8	4.19	0.45504		
SCT_0146-1	SCT_0146	41	1	.	.	.	.	.	.	2010/08/24	.	.	5.3	4.87	0.22272		
SCT_0146-2	SCT_0146	42	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0147-1	SCT_0147	51	1	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0147-2	SCT_0147	52	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0148-1	SCT_0148	61	1	.	.	.	.	.	.	2010/08/24	.	.	4.2	3.8	0.40768		
SCT_0148-2	SCT_0148	62	2	.	.	.	.	.	.	2010/08/24	.	.	4.5	4.18	0.50752		
SCT_0149-1	SCT_0149	71	1	.	.	.	.	.	.	2010/08/24	.	.	5.1	4.4	0.33088		
SCT_0149-2	SCT_0149	72	2	.	.	.	.	.	.	2010/08/24	.	.	5.1	4.34	0.35712		
SCT_0150-1	SCT_0150	81	1	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0150-2	SCT_0150	82	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0151-1	SCT_0151	91	1	.	.	.	.	.	.	2010/08/24	.	.	4.9	5	0.2144		
SCT_0151-2	SCT_0151	92	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0152-1	SCT_0152	101	1	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0152-2	SCT_0152	102	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0153-1	SCT_0153	111	1	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0153-2	SCT_0153	112	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0154-1	SCT_0154	121	1	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0154-2	SCT_0154	122	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0155-1	SCT_0155	131	1	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0155-2	SCT_0155	132	2	.	.	.	.	.	.	2010/08/24	.	.	.	.	.		
SCT_0156-1	SCT_0156	141	1	.	.	.	.	.	.	2010/08/24	.	.	5.9	3.9	0.63424		
SCT_0156-2	SCT_0156	142	2	.	.	.	.	.	.	2010/08/24	.	.	5.8	4.03	0.6368		
SCT_0157-1	SCT_0157	151	1	.	.	.	.	.	.	2010/08/24	.	.	5.6	3.79	0.61376		
SCT_0157-2	SCT_0157	152	2	.	.	.	.	.	.	2010/08/24	.	.	5.4	3.96	0.48128		
SCT_0158-1	SCT_0158	161	1	.	.	.	.	.	.	2010/08/24	.	.	4.6	3.86	0.50752		
SCT_0158-2	SCT_0158	162	2	.	.	.	.	.	.	2010/08/24	.	.	5.3	3.79	0.61824		
SCT_0159-1	SCT_0159	171	1	.	.	.	.	.	.	2010/08/24	.	.	4.8	3.91	0.46272		
SCT_0159-2	SCT_0159	172	2	.	.	.	.	.	.	2010/08/24	.	.	4.5	3.85	0.44032		
SCT_0160-1	SCT_0160	181	1	.	.	.	.	.	.	2010/08/24	.	.	4.6	3.85	0.47488		
SCT_0160-2	SCT_0160	182	2	.	.	.	.	.	.	2010/08/24	.	.	4.2	3.67	0.48192		
SCT_0161-1	SCT_0161	191	1	.	.	.	.	.	.	2010/08/24	.	.	4.9	3.79	0.58112		
SCT_0161-2	SCT_0161	192	2	.	.	.	.	.	.	2010/08/24	.	.	4	3.9	0.5152		
SCT_0162-1	SCT_0162	201	1	.	.	.	.	.	.	2010/08/24	.	.	5.8	4.12	0.42688		
SCT_0162-2	SCT_0162	202	2	.	.	.	.	.	.	2010/08/24	.	.	5.4	4.18	0.38592		
SCT_0163-1	SCT_0163	211	1	.	.	.	.	.	.	2010/08/24	.	.	4.8	3.78	0.47552		
SCT_0163-2a	SCT_0163	212	2a	.	.	.	.	.	.	2010/08/24	.	.	3.9	3.8	0.45312	Have 2 sets of quality measurements for the same rep	
SCT_0163-2b	SCT_0163	212	2b	.	.	.	.	.	.	.	.	.	4.5	4.02	0.35584	Have 2 sets of quality measurements for the same rep	
SCT_0164-1	SCT_0164	221	1	.	.	.	.	.	.	2010/08/24	.	.	5.3	4.22	0.39936		
SCT_0164-2	SCT_0164	222	2	.	.	.	.	.	.	2010/08/24	.	.	4.8	3.81	0.496		
SCT_0165-1	SCT_0165	231	1	.	.	.	.	.	.	2010/08/24	.	.	4.7	4.03	0.43328		
SCT_0165-2	SCT_0165	232	2	.	.	.	.	.	.	2010/08/24	.	.	4.5	3.88	0.47552		
SCT_0166-1	SCT_0166	241	1	.	.	.	.	.	.	2010/08/24	.	.	5.3	4.01	0.46208		
SCT_0166-2	SCT_0166	242	2	.	.	.	.	.	.	2010/08/24	.	.	5	4.02	0.4288		
SCT_0167-1	SCT_0167	251	1	.	.	.	.	.	.	2010/08/24	.	.	4.2	3.92	0.35712		
SCT_0167-2	SCT_0167	252	2	.	.	.	.	.	.	2010/08/24	.	.	5.1	3.95	0.5632		
SCT_0168-1	SCT_0168	261	1	.	.	.	.	.	.	2010/08/24	.	.	5.3	4.07	0.43072		
SCT_0168-2	SCT_0168	262	2	.	.	.	.	.	.	2010/08/24	.	.	4.1	3.94	0.37184		
SCT_0169-1	SCT_0169	271	1	.	.	.	.	.	.	2010/08/24	.	.	5	4.03	0.42112		
SCT_0169-2	SCT_0169	272	2	.	.	.	.	.	.	2010/08/24	.	.	4.4	4.13	0.42304		
SCT_0170-1	SCT_0170	281	1	.	.	.	.	.	.	2010/08/24	.	.	5.4	4.08	0.45824		
SCT_0170-2	SCT_0170	282	2	.	.	.	.	.	.	2010/08/24	.	.	4.8	4.06	0.44864		
SCT_0171-1	SCT_0171	291	1	.	.	.	.	.	.	2010/08/24	.	.	5.6	4	0.47744		
SCT_0171-2	SCT_0171	292	2	.	.	.	.	.	.	2010/08/24	.	.	4.8	4.06	0.44288		
SCT_0173-1	SCT_0173	301	1	.	.	.	.	.	.	2010/08/24	.	.	4.9	4.16	0.37696		
SCT_0173-2	SCT_0173	302	2	.	.	.	.	.	.	2010/08/24	.	.	4	4.26	0.38464		
SCT_0226-1	SCT_0226	311	1	.	.	.	.	.	.	2010/08/24	.	.	5.2	4.36	0.37632		
SCT_0226-2	SCT_0226	312	2	.	.	.	.	.	.	2010/08/24	.	.	4.5	4.42	0.24896		
SCT_0227-1	SCT_0227	321	1	.	.	.	.	.	.	2010/08/24	.	.	5.2	4.38	0.34496		
SCT_0227-2	SCT_0227	322	2	.	.	.	.	.	.	2010/08/24	.	.	5.5	4.19	0.45568		
SCT_0228/SCT_0229-1	SCT_0228/SCT_0229	331	1	.	.	.	.	.	.	2010/08/24	.	.	4.5	3.85	0.47936		
SCT_0228/SCT_0229-2	SCT_0228/SCT_0229	332	2	.	.	.	.	.	.	2010/08/24	.	.	3.8	3.89	0.40064		
SCT_0230-1	SCT_0230	341	1	.	.	.	.	.	.	2010/08/24	.	.	5.7	4.35	0.41088		
