	Tomato Data Entry			Characterization Descriptors									Quality Measures																												
	Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 		Form 																								
	#	#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)																														
unique#	Line #	Plot Number	Replicate Number	SP:0000344	SP:0000128	SP:0000071	SP:0000363	SP:0000364	SP:0000126	SP:0000366	SP:0000368	SP:0000198	SP:0000165	SP:0000170	SP:0000345	Comment																									
301-1	SCT_0325	301	1	.	.	.	.	.	.	.	.	.	5.2	.	0.34		Hidden:																								
302-1	SCT_0321	302	1	.	.	.	.	.	.	.	.	.	5.1	.	0.37																										
303-1	SCT_0286	303	1	.	.	.	.	.	.	.	.	.	.	.	.																										
304-1	SCT_0287	304	1	.	.	.	.	.	.	.	.	.	6.2	.	0.32512																										
305-1	SCT_0290	305	1	.	.	.	.	.	.	.	.	.	6.6	.	0.47104																										
306-1	SCT_0289	306	1	.	.	.	.	.	.	.	.	.	5.4	.	0.32832																										
307-1	SCT_0292	307	1	.	.	.	.	.	.	.	.	.	5.1	.	0.2848																										
308-1	SCT_0293	308	1	.	.	.	.	.	.	.	.	.	.	.	.																										
309-1	SCT_0294	309	1	.	.	.	.	.	.	.	.	.	4.2	.	0.34816																										
310-1	SCT_0295	310	1	.	.	.	.	.	.	.	.	.	4.8	.	0.33216																										
311-1	SCT_0296	311	1	.	.	.	.	.	.	.	.	.	4.8	.	0.32448																										
312-1	SCT_0297	312	1	.	.	.	.	.	.	.	.	.	4.7	.	0.432																										
313-1	SCT_0298	313	1	.	.	.	.	.	.	.	.	.	4.7	.	0.29312																										
314-1	SCT_0299	314	1	.	.	.	.	.	.	.	.	.	5.4	.	0.29056																										
315-1	SCT_0300	315	1	.	.	.	.	.	.	.	.	.	5.6	.	0.41088																										
316-1	SCT_0301	316	1	.	.	.	.	.	.	.	.	.	4.5	.	0.31168																										
317-1	SCT_0302	317	1	.	.	.	.	.	.	.	.	.	4.5	.	0.21376																										
318-1	SCT_0303	318	1	.	.	.	.	.	.	.	.	.	5.2	.	0.26624																										
319-1	SCT_0304	319	1	.	.	.	.	.	.	.	.	.	5	.	0.32256																										
320-1	SCT_0305	320	1	.	.	.	.	.	.	.	.	.	3.7	.	0.20544																										
321-1	SCT_0306	321	1	.	.	.	.	.	.	.	.	.	5.5	.	0.28288																										
322-1	SCT_0307	322	1	.	.	.	.	.	.	.	.	.	3.7	.	.																										
323-1	SCT_0308	323	1	.	.	.	.	.	.	.	.	.	5.2	.	0.38656																										
324-1	SCT_0310	324	1	.	.	.	.	.	.	.	.	.	4.3	.	0.336																										
325-1	SCT_0311	325	1	.	.	.	.	.	.	.	.	.	6	.	0.62592																										
326-1	SCT_0312	326	1	.	.	.	.	.	.	.	.	.	5.4	.	0.3456																										
327-1	SCT_0313	327	1	.	.	.	.	.	.	.	.	.	4.1	.	0.2336																										
328-1	SCT_0314	328	1	.	.	.	.	.	.	.	.	.	5.6	.	0.33344																										
329-1	SCT_0315	329	1	.	.	.	.	.	.	.	.	.	.	.	.																										
330-1	SCT_0316	330	1	.	.	.	.	.	.	.	.	.	5.9	.	0.33664																										
331-1	SCT_0317	331	1	.	.	.	.	.	.	.	.	.	5.4	.	0.29952																										
332-1	SCT_0318	332	1	.	.	.	.	.	.	.	.	.	3.9	.	0.30144																										
333-1	SCT_0319	333	1	.	.	.	.	.	.	.	.	.	5.7	.	0.40448																										
334-1	SCT_0320	334	1	.	.	.	.	.	.	.	.	.	6.1	.	0.38592																										
335-1	SCT_0322	335	1	.	.	.	.	.	.	.	.	.	4.1	.	0.29376																										
336-1	SCT_0323	336	1	.	.	.	.	.	.	.	.	.	4.9	.	0.33408																										
337-1	SCT_0324	337	1	.	.	.	.	.	.	.	.	.	4.6	.	0.29504																										
338-1	SCT_0285	338	1	.	.	.	.	.	.	.	.	.	5.9	.	0.3264																										
339-1	SCT_0288	339	1	.	.	.	.	.	.	.	.	.	5.3	.	0.4928																										
340-1	SCT_0291	340	1	.	.	.	.	.	.	.	.	.	5.1	.	0.39232																										
341-1	SCT_0309	341	1	.	.	.	.	.	.	.	.	.	6	.	0.39872																										
342-1	SCT_0326	342	1	.	.	.	.	.	.	.	.	.	5.4	.	0.54272																										
343-1	SCT_0327	343	1	.	.	.	.	.	.	.	.	.	5.9	.	0.30272																										
344-1	SCT_0328	344	1	.	.	.	.	.	.	.	.	.	6	.	0.4256																										
345-1	SCT_0344	345	1	.	.	.	.	.	.	.	.	.	5.3	.	0.4064																										
346-1	SCT_0359	346	1	.	.	.	.	.	.	.	.	.	5.3	.	0.37248																										
347-1	SCT_0364	347	1	.	.	.	.	.	.	.	.	.	5.6	.	0.4672																										
348-1	SCT_0363	348	1	.	.	.	.	.	.	.	.	.	5.8	.	0.33664																										
349-1	SCT_0360	349	1	.	.	.	.	.	.	.	.	.	5.9	.	0.4544																										
350-1	SCT_0332	350	1	.	.	.	.	.	.	.	.	.	4.5	.	0.272																										
351-1	SCT_0341	351	1	.	.	.	.	.	.	.	.	.	4.5	.	0.26752																										
352-1	SCT_0342	352	1	.	.	.	.	.	.	.	.	.	6.5	.	0.38016																										
353-1	SCT_0362	353	1	.	.	.	.	.	.	.	.	.	4.7	.	0.41408																										
354-1	SCT_0343	354	1	.	.	.	.	.	.	.	.	.	6.3	.	0.54272																										
355-1	SCT_0345	355	1	.	.	.	.	.	.	.	.	.	5.1	.	0.38912																										
356-1	SCT_0346	356	1	.	.	.	.	.	.	.	.	.	4.7	.	0.38272																										
357-1	SCT_0347	357	1	.	.	.	.	.	.	.	.	.	4.4	.	0.39168																										
358-1	SCT_0348	358	1	.	.	.	.	.	.	.	.	.	4.9	.	0.45952																										
359-1	SCT_0349	359	1	.	.	.	.	.	.	.	.	.	4.8	.	0.36224																										
360-1	SCT_0350	360	1	.	.	.	.	.	.	.	.	.	4.7	.	0.38976																										
361-1	SCT_0351	361	1	.	.	.	.	.	.	.	.	.	4.8	.	0.40064																										
362-1	SCT_0358	362	1	.	.	.	.	.	.	.	.	.	4.1	.	0.3296																										
363-1	SCT_0333	363	1	.	.	.	.	.	.	.	.	.	5.2	.	0.34304																										
364-1	SCT_0352	364	1	.	.	.	.	.	.	.	.	.	5.4	.	0.44864																										
365-1	SCT_0353	365	1	.	.	.	.	.	.	.	.	.	4	.	0.45184																										
366-1	SCT_0366	366	1	.	.	.	.	.	.	.	.	.	5.3	.	0.688																										
367-1	SCT_0339	367	1	.	.	.	.	.	.	.	.	.	.	.	.																										
368-1	SCT_0334	368	1	.	.	.	.	.	.	.	.	.	5.3	.	0.36032																										
369-1	SCT_0355	369	1	.	.	.	.	.	.	.	.	.	5.6	.	0.52928																										
370-1	SCT_0356	370	1	.	.	.	.	.	.	.	.	.	6.2	.	0.34624																										
371-1	SCT_0338	371	1	.	.	.	.	.	.	.	.	.	5.4	.	0.28544																										
372-1	SCT_0337	372	1	.	.	.	.	.	.	.	.	.	5	.	0.496																										
373-1	SCT_0335	373	1	.	.	.	.	.	.	.	.	.	4.9	.	0.41792																										
374-1	SCT_0336	374	1	.	.	.	.	.	.	.	.	.	4.7	.	0.336																										
375-1	SCT_0368	375	1	.	.	.	.	.	.	.	.	.	5.6	.	0.27776																										
376-1	SCT_0330	376	1	.	.	.	.	.	.	.	.	.	3.6	.	0.24192																										
377-1	SCT_0331	377	1	.	.	.	.	.	.	.	.	.	6.1	.	0.32512																										
378-1	SCT_0329	378	1	.	.	.	.	.	.	.	.	.	5.7	.	0.26496																										
379-1	SCT_0340	379	1	.	.	.	.	.	.	.	.	.	5.3	.	0.2688																										
380-1	SCT_0361	380	1	.	.	.	.	.	.	.	.	.	6	.	0.35328																										
381-1	SCT_0365	381	1	.	.	.	.	.	.	.	.	.	6	.	0.38144																										
382-1	SCT_0357	382	1	.	.	.	.	.	.	.	.	.	4.4	.	0.28608																										
383-1	SCT_0354	383	1	.	.	.	.	.	.	.	.	.	5.2	.	0.64704																										
384-1	SCT_0367	384	1	.	.	.	.	.	.	.	.	.	5.2	.	0.608																										
385-1	SCT_0369	385	1	.	.	.	.	.	.	.	.	.	6	.	0.41152																										
386-2	SCT_0325	386	2	.	.	.	.	.	.	.	.	.	5	.	0.36736																										
387-2	SCT_0321	387	2	.	.	.	.	.	.	.	.	.	3.9	.	0.36096																										
388-2	SCT_0286	388	2	.	.	.	.	.	.	.	.	.	5.1	.	0.34752																										
