	Tomato Data Entry			Characterization Descriptors									Quality Measures					
	Line #	Plot	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml)		Form	
				anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)							
unique#	Line #	Plot Number	Replicate Number	SP:0000344	SP:0000128	SP:0000071	SP:0000363	SP:0000364	SP:0000126	SP:0000366	SP:0000368	SP:0000198|unit:kiogram per hectare	SP:0000165	SP:0000170	SP:0000345|unit:gram per deciliter	Comment		
101-1	SCT_0036	101	1	.	.	.	.	.	.	2009/09/16	.	37353.1390811425	4.7	4.45	0.390668042158104		0	.
102-1	SCT_0073	102	1	.	.	.	.	.	.	.	.	.	.	.	.		50.85	.
103-1	SCT_0023	103	1	.	.	.	.	.	.	2009/09/23	.	50283.0718399995	4.65	4.44	0.313297244408521		50.85	.
104-1	SCT_0008	104	1	.	.	.	.	.	.	2009/09/23	.	26578.1951154283	6.1	4.25	0.508358833101131		41.77	.
105-1	SCT_0001	105	1	.	.	.	.	.	.	2009/09/23	.	38789.7982765711	4.75	4.47	0.341630212598509		34.5	.
106-1	SCT_0116	106	1	.	.	.	.	.	.	2009/09/18	.	31606.5022994283	5.25	4.33	0.396661554659832		41.77	.
107-1	SCT_0044	107	1	.	.	.	.	.	.	2009/09/12	.	35916.4798857139	5.45	4.39	0.382495070564838		39.95	.
108-1	SCT_0030	108	1	.	.	.	.	.	.	2009/09/14	.	30169.8431039997	4.85	4.47	0.287143735310071		47.22	.
109-1	SCT_0005	109	1	.	.	.	.	.	.	2009/09/23	.	38789.7982765711	6.65	4.38	0.37650155806311		38.14	.
110-1	SCT_0015	110	1	.	.	.	.	.	.	2009/09/25	.	15803.2511497141	5.45	4.41	0.366149127378306		45.4	.
111-1	SCT_0014	111	1	.	.	.	.	.	.	2009/09/23	.	22986.5471268569	5.05	4.35	0.377046422835994		39.95	.
112-1	SCT_0042	112	1	.	.	.	.	.	.	2009/09/14	.	49564.7422422852	4.7	4.36	0.357976155785041		38.14	.
113-1	SCT_0093	113	1	.	.	.	.	.	.	2009/09/12	.	17958.239942857	5.3	4.44	0.343809671690047		36.32	.
114-1	SCT_0054	114	1	.	.	.	.	.	.	2009/09/16	.	26578.1951154283	5.4	4.35	0.361790209195231		47.22	.
115-1	SCT_0132	115	1	.	.	.	.	.	.	2009/09/16	.	25859.865517714	6.75	4.3	0.498551267189212		38.14	.
116-1	SCT_0048	116	1	.	.	.	.	.	.	2009/09/14	.	44536.4350582853	5.85	4.36	0.422815063758282		34.5	.
117-1	SCT_0056	117	1	.	.	.	.	.	.	2009/09/16	.	33043.1614948568	4.95	4.31	0.383584800110607		34.5	.
118-1	SCT_0080	118	1	.	.	.	.	.	.	2009/09/16	.	39508.1278742853	4.55	4.43	0.317111297818712		41.77	.
119-1	SCT_0011	119	1	.	.	.	.	.	.	2009/09/23	.	35198.1502879997	5.4	4.39	0.338361023961203		54.48	.
120-1	SCT_0012	120	1	.	.	.	.	.	.	2009/09/20	.	48846.412644571	6.2	4.41	0.35416210237485		36.32	.
121-1	SCT_0115	121	1	.	.	.	.	.	.	2009/09/12	.	54593.0494262852	5.2	4.45	0.32310481032044		43.58	.
122-1	SCT_0089	122	1	.	.	.	.	.	.	2009/09/16	.	52438.0606331424	5.1	4.44	0.315476703500059		41.77	.
123-1	SCT_0108	123	1	.	.	.	.	.	.	2009/09/12	.	46691.4238514281	5.05	4.43	0.330188052367937		47.22	.
124-1	SCT_0119	124	1	.	.	.	.	.	.	2009/09/12	.	45254.7646559996	5.2	4.54	0.296406436449105		34.5	.
125-1	SCT_0090	125	1	.	.	.	.	.	.	2009/09/20	.	20831.5583337141	4.9	4.32	0.366149127378306		39.95	.
126-1	SCT_0128	126	1	.	.	.	.	.	.	2009/09/20	.	47409.7534491424	5.35	4.29	0.399930743297138		38.14	.
127-1	SCT_0072	127	1	.	.	.	.	.	.	2009/09/18	.	42381.4462651424	4.75	4.33	0.401020472842907		39.95	.
128-1	SCT_0037	128	1	.	.	.	.	.	.	2009/09/16	.	53874.7198285709	4.45	4.37	0.311662650089868		36.32	.
129-1	SCT_0007	129	1	.	.	.	.	.	.	2009/09/14	.	22986.5471268569	6.75	4.6	0.297496165994874		39.95	.
130-1	SCT_0050	130	1	.	.	.	.	.	.	2009/09/16	.	50283.0718399995	4.7	4.39	0.31820102736448		39.95	.
131-1	SCT_0021	131	1	.	.	.	.	.	.	2009/09/16	.	46691.4238514281	5.3	4.6	0.261535090984504		32.69	.
132-1	SCT_0123	132	1	.	.	.	.	.	.	2009/09/10	.	27296.5247131426	4.9	4.69	0.235926446658938		34.5	.
133-1	SCT_0060	133	1	.	.	.	.	.	.	2009/09/14	.	54593.0494262852	5	4.42	0.370508045561381		43.58	.
134-1	SCT_0002	134	1	.	.	.	.	.	.	2009/09/12	.	30888.172701714	5.65	4.47	0.33182264668659		38.14	.
135-1	SCT_0033	135	1	.	.	.	.	.	.	2009/09/12	.	43818.105460571	5.55	4.64	0.298041030767758		45.4	.
136-1	SCT_0098	136	1	.	.	.	.	.	.	2009/09/12	.	43099.7758628567	4.65	4.4	0.266983738713348		54.48	.
137-1	SCT_0031	137	1	.	.	.	.	.	.	2009/09/14	.	69677.970978285	4.95	4.37	0.320380486456018		39.95	.
138-1	SCT_0099	138	1	.	.	.	.	.	.	2009/09/20	.	50283.0718399995	5.8	4.33	0.405924255798866		41.77	.
139-1	SCT_0127	139	1	.	.	.	.	.	.	2009/10/02	.	84044.5629325706	5.05	4.22	0.432622629670201		39.95	.
140-1	SCT_0112	140	1	.	.	.	.	.	.	2009/09/12	.	55311.3790239995	4.75	4.43	0.327463728503515		36.32	.
141-1	SCT_0096	141	1	.	.	.	.	.	.	2009/09/12	.	30888.172701714	6.05	4.55	0.293682112584683		39.95	.
142-1	SCT_0035	142	1	.	.	.	.	.	.	2009/09/12	.	45254.7646559996	5.2	4.47	0.319835621683134		47.22	.
143-1	SCT_0010	143	1	.	.	.	.	.	.	2009/10/06	.	40944.7870697139	6.3	4.36	0.388488583066566		43.58	.
144-1	SCT_0032	144	1	.	.	.	.	.	.	2009/09/16	.	53156.3902308566	4.6	4.43	0.251182660299701		34.5	.
145-1	SCT_0047	145	1	.	.	.	.	.	.	2009/09/14	.	35198.1502879997	5.15	4.48	0.308393461452562		38.14	.
146-1	SCT_0137	146	1	.	.	.	.	.	.	2009/09/14	.	57466.3678171423	4.75	4.58	0.241919959160667		50.85	.
147-1	SCT_0038	147	1	.	.	.	.	.	.	2009/09/16	.	73987.9485645707	4.4	4.38	0.324739404639093		41.77	.
148-1	SCT_0125	148	1	.	.	.	.	.	.	2009/09/16	.	52438.0606331424	5.35	4.51	0.30948319099833		41.77	.
149-1	SCT_0034	149	1	.	.	.	.	.	.	2009/09/12	.	67522.9821851422	5	4.47	0.31438697395429		0	.
150-1	SCT_0074	150	1	.	.	.	.	.	.	2009/09/12	.	.	.	.	.		49.03	.
151-1	SCT_0118	151	1	.	.	.	.	.	.	2009/09/16	.	32324.8318971425	4.45	4.31	0.401565337615791		39.95	.
152-1	SCT_0041	152	1	.	.	.	.	.	.	2009/09/14	.	66086.3229897136	4.7	4.47	0.288233464855839		41.77	.
153-1	SCT_0071	153	1	.	.	.	.	.	.	2009/09/16	.	58903.0270125709	5.35	4.48	0.320925351228902		41.77	.
154-1	SCT_0084	154	1	.	.	.	.	.	.	2009/09/12	.	53874.7198285709	5.45	4.44	0.328553458049284		38.14	.
155-1	SCT_0121	155	1	.	.	.	.	.	.	2009/09/14	.	37353.1390811425	5.45	4.25	0.415186956937901		43.58	.
156-1	SCT_0114	156	1	.	.	.	.	.	.	2009/09/12	.	42381.4462651424	4.65	4.54	0.27842589894392		45.4	.
157-1	SCT_0087	157	1	.	.	.	.	.	.	2009/09/16	.	65367.9933919994	4.5	4.59	0.246278877343742		38.14	.
158-1	SCT_0103	158	1	.	.	.	.	.	.	2009/09/16	.	38071.4686788568	5.3	4.58	0.248458336435279		34.5	.
159-1	SCT_0104	159	1	.	.	.	.	.	.	2009/09/12	.	36634.8094834282	5.1	4.57	0.287143735310071		56.3	.
160-1	SCT_0020	160	1	.	.	.	.	.	.	2009/09/14	.	63213.0045988565	4.7	4.52	0.256086443255661		43.58	.
161-1	SCT_0107	161	1	.	.	.	.	.	.	2009/09/10	.	44536.4350582853	5.1	4.55	0.205414019377413		56.3	.
162-1	SCT_0095	162	1	.	.	.	.	.	.	2009/09/16	.	54593.0494262852	5.15	4.71	0.211952396652026		58.11	.
