	Tomato Data Entry			Characterization Descriptors									Quality Measures							
	Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 	Comment	Form 			
		#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)									
unique#	Line #	Plot Number	Replicate Number	SP:0000344	SP:0000128	SP:0000071	SP:0000363	SP:0000364	SP:0000126	SP:0000366	SP:0000368	SP:0000198	SP:0000165	SP:0000170	SP:0000345	Comment				
8901-1	SCT_0325	8901	1	.	.	.	.	.	.	2010/09/08	.	.	6.4	3.69	0.5344		form values	Growth Type	inflorescence	
8902-1	SCT_0287	8902	1	.	.	.	.	.	.	2010/09/08	.	.	6.9	3.82	0.55104		Seedling	determinate	simple	
8903-1	SCT_0289	8903	1	.	.	.	.	.	.	2010/09/15	.	.	7.6	3.87	0.57536		0 - absent	indeterminate	intermediate	
8904-1	SCT_0295	8904	1	.	.	.	.	.	.	2010/09/15	.	.	6.9	3.77	0.52864		.5 - H		compound	
8905-1	SCT_0296	8905	1	.	.	.	.	.	.	2010/09/22	.	.	8.2	4.36	0.59776		1 - present			
8906-1	SCT_0297	8906	1	.	.	.	.	.	.	2010/09/22	.	.	6.6	4.32	0.59712					.
8907-1	SCT_0298	8907	1	.	.	.	.	.	.	2010/09/30	.	.	5.1	4.45	0.39296					
8908-1	SCT_0303	8908	1	.	.	.	.	.	.	2010/09/30	.	.	5.9	4.41	0.37568					
8909-1	SCT_0326	8909	1	.	.	.	.	.	.	2010/09/30	.	.	6.4	4.2	0.6464					
8910-1	SCT_0304	8910	1	.	.	.	.	.	.	2010/09/30	.	.	5.7	4.35	0.37504					
8911-1	SCT_0308	8911	1	.	.	.	.	.	.	2010/09/22	.	.	5.6	4.54	0.496					
8912-1	SCT_0299	8912	1	.	.	.	.	.	.	2010/09/22	.	.	7.3	4.62	0.38848					
8913-1	SCT_0327	8913	1	.	.	.	.	.	.	2010/09/15	.	.	8	3.53	0.7904					
8914-1	SCT_0310	8914	1	.	.	.	.	.	.	2010/09/15	.	.	5.4	3.9	0.54016					
