	Tomato Data Entry			Characterization Descriptors									Quality Measures																	
	Line #	Plot Number	Replicate Number	Seedling	Plant	Inflorescence	Flower: fasciation	Peduncle	Date of flowering (third truss)	Date of Maturity (third set)	Fruit	Yield (kg/ha)	Brix	pH	titratable acids (g citric acid /100 ml) 	Comment	Form 													
	#	#	#	anthocyanin coloration of hypocotyl: absent/present	growth type: determinate/indeterminate	2nd and 3rd truss - simple/intermediate/compound	1st flower of inflorescenses - absent/present	abscission layer - absent/present	MM/DD/YY	MM/DD/YY	size of blossom scar(mm)																			
unique#	Line #	Plot Number	Replicate Number	SP:0000344	SP:0000128	SP:0000071	SP:0000363	SP:0000364	SP:0000126	SP:0000366	SP:0000368	SP:0000198	SP:0000165	SP:0000170	SP:0000345	Comment														
3801-1	SCT_0138	3801	1	.	.	.	.	.	.	2009/09/21	.	.	5.4	4.4	0.29952															
3836-2	SCT_0131	3836	2	.	.	.	.	.	.	2009/09/21	.	.	6	4.43	0.33344															
3856-2	SCT_0138	3856	2	.	.	.	.	.	.	2009/09/21	.	.	5.2	4.5	0.27776															
3872-2	SCT_0131	3872	2	.	.	.	.	.	.	2009/09/21	.	.	5.7	4.45	0.33728															
8501-1	SCT_0014	8501	1	.	.	.	.	.	.	2009/09/07	.	.	5.6	4.42	0.35328															
8502-1	SCT_0027	8502	1	.	.	.	.	.	.	2009/09/07	.	.	5.2	4.31	0.47168															
8503-1	SCT_0096	8503	1	.	.	.	.	.	.	2009/09/07	.	.	5.1	4.47	0.3328															
8504-1	SCT_0093	8504	1	.	.	.	.	.	.	2009/09/07	.	.	5	4.34	0.34432															
8505-1	SCT_0088	8505	1	.	.	.	.	.	.	2009/09/07	.	.	5.7	4.2	0.37312															
8506-1	SCT_0135	8506	1	.	.	.	.	.	.	2009/09/07	.	.	6.1	4.31	0.49472															
8507-1	SCT_0478	8507	1	.	.	.	.	.	.	2009/09/07	.	.	6.1	4.45	0.36352															
8508-1	SCT_0048	8508	1	.	.	.	.	.	.	2009/09/07	.	.	5.9	4.16	0.54016															
8509-1	SCT_0017	8509	1	.	.	.	.	.	.	2009/09/07	.	.	6.3	4.23	0.47104															
8510-1	SCT_0065	8510	1	.	.	.	.	.	.	2009/09/07	.	.	5.1	4.14	0.41088															
8511-1	SCT_0092	8511	1	.	.	.	.	.	.	2009/09/07	.	.	5.3	4.35	0.3584															
